producer,node,Qstep1,Qstep2,Qstep3,Qstep4,Qstep5,Qstep6,Pstep1,Pstep2,Pstep3,Pstep4,Pstep5,Pstep6
AL_FD,AL,0.025420133606557378,0.12710066796721312,0.13967106370491802,0.14831051095081968,0.16165845695081965,0.6466338278688524,0.86991066,0.86991066,0.998258134,1.125695343,1.463403945,23.41446313
AL_N,AL,0.030907226655737703,0.1545361332786885,0.1698199266557377,0.18032425203278687,0.19655343472131148,0.7862137386885245,0.856405608,0.856405608,0.982760534,1.108219326,1.440685124,23.05096198
AL_S,AL,0.001479931573770492,0.007399657836065574,0.008131492131147541,0.008634471049180328,0.009411573442622952,0.03764629370491804,0.883457914,0.883457914,1.013804164,1.143225972,1.486193764,23.77910022
AL_ST,AL,0.04380444560655737,0.21902222806557375,0.2406837671147541,0.25557142281967216,0.2785728508852459,1.1142914036065574,0.86991066,0.86991066,0.998258134,1.125695343,1.463403945,23.41446313
AR,AR,0.38432301245901634,1.2810767085245902,1.3206976373770494,1.347378397704918,1.3877997498360657,5.5511989999999996,0.821326919,0.821326919,0.873752041,1.067919161,1.708670658,104.2289101
AZ,AZ,3.0308983606557377e-05,0.00015154495081967214,0.00016653288524590162,0.00017683390163934426,0.00019274895081967212,0.0007709958032786885,1.03344839,1.03344839,1.185924382,1.337318984,1.738514679,27.81623486
CA,CA,0.04419236219672131,0.2209618109180328,0.24281517681967213,0.25783467229508195,0.28103979278688523,1.124159171147541,1.387407343,1.387407343,1.592106787,1.795354461,2.3339608,37.3433728
CA_FD,CA,0.00018433868852459016,0.0009216934098360655,0.0010128499016393443,0.0010755004262295081,0.0011722954754098361,0.004689181836065574,1.387407343,1.387407343,1.592106787,1.795354461,2.3339608,37.3433728
CA_ST,CA,8.37547213114754e-05,0.00041877367213114756,0.00046019085245901643,0.000488656262295082,0.0005326353114754098,0.0021305413114754103,1.387407343,1.387407343,1.592106787,1.795354461,2.3339608,37.3433728
CN_W,CN_W,3.879070806557377,19.39535402622951,21.313575852459017,22.631941370491802,24.66881609180328,98.67526436065573,0.928320006,0.928320006,1.065285253,1.201279115,1.56166285,24.9866056
CO,CO,0.7699945790163935,3.8499728950819674,4.230739445901639,4.492434668852459,4.896753790163934,19.58701515737705,0.758705003,0.758705003,0.870645086,0.981791267,1.276328647,20.42125835
FL,FL,0.00021277157377049178,0.001063857868852459,0.0011690745901639344,0.0012413884590163934,0.0013531134426229509,0.005412453737704918,0.98938816,0.98938816,1.135363462,1.280303479,1.664394522,26.63031236
IL,IL,0.0010187922295081967,0.005093961114754098,0.005597759475409836,0.00594401262295082,0.006478973770491803,0.025915895016393443,0.81403351,0.81403351,0.934136815,1.053388323,1.36940482,21.91047712
IN,IN,0.0023231834098360656,0.011615916983606558,0.01276474393442623,0.013554315737704919,0.01477420413114754,0.05909681655737705,0.799557783,0.799557783,0.917525325,1.034656218,1.345053083,21.52084933
KS,KS,0.06662266770491804,0.3331133383606557,0.3660586137704918,0.38870141475409836,0.4236845419672131,1.6947381678688525,0.732370153,0.732370153,0.840424766,0.947713034,1.232026944,19.71243111
KY,KY,0.03232918409836066,0.1616459204262295,0.17763287960655738,0.18862048039344262,0.20559632363934427,0.8223852944262294,0.753767219,0.753767219,0.864978776,0.975401598,1.268022078,20.28835324
LA_FD,LA,0.19407308606557377,0.9703654304918032,1.066335637704918,1.1322945432786886,1.2342010521311475,4.936804209836066,0.837625147,0.837625147,0.961209185,1.08391674,1.409091762,22.54546819
LA_N,LA,1.429548475409836,7.14774237704918,7.85466195409836,8.340517331147542,9.091163891803278,36.36465557377049,0.797827449,0.797827449,0.915539695,1.032417103,1.342142234,21.47427574
LA_S,LA,0.049688387442622946,0.24844193727868855,0.27301311790163935,0.28990052724590165,0.31599157472131145,1.2639662986885245,0.866661007,0.866661007,0.994529024,1.121490176,1.457937229,23.32699566
LA_ST,LA,0.016890532754098363,0.08445266373770491,0.09280512498360656,0.09854564819672132,0.10741475652459016,0.4296590262295082,0.837625147,0.837625147,0.961209185,1.08391674,1.409091762,22.54546819
MD,MD,4.902557377049181e-06,2.4512852459016393e-05,2.69372131147541e-05,2.8603409836065574e-05,3.117773770491803e-05,0.00012471091803278688,0.791243736,0.791243736,0.907984615,1.023897545,1.331066808,21.29706893
MI,MI,0.0365828357704918,0.18291417891803277,0.2010045922295082,0.21343786596721312,0.23264727390163933,0.9305890957377049,0.809897588,0.809897588,0.929390675,1.048036293,1.362447181,21.79915489
MS_FD,MS,0.040571787573770494,0.20285893783606557,0.22292190973770493,0.23671089383606558,0.2580148742622951,1.0320594970491803,0.85526612,0.85526612,0.981452924,1.106744787,1.438768223,23.02029157
MS_N,MS,0.013173257836065573,0.06586628921311476,0.07238053760655738,0.0768576842295082,0.08377487583606558,0.33509950327868854,0.833658038,0.833658038,0.956656765,1.07878316,1.402418108,22.43868973
MS_S,MS,8.169970491803278e-05,0.00040849845901639345,0.0004488994098360656,0.0004766663606557377,0.0005195663278688525,0.0020782653770491807,0.883457914,0.883457914,1.013804164,1.143225972,1.486193764,23.77910022
MT,MT,0.010334386918032786,0.05167193452459016,0.05678234563934426,0.060294655672131145,0.06572117468852459,0.26288469875409837,0.905910062,0.905910062,1.039568924,1.17227985,1.523963805,24.38342088
MX_NE,MX_NE,0.03183927668852459,0.15919638340983608,0.1749410806885246,0.18576217845901638,0.20248077452459018,0.809923098032787,1.168068429,1.168068429,1.340406394,1.511522104,1.964978735,31.43965975
MX_SS,MX_SS,0.059024013213114755,0.29512006609836067,0.3243077649508197,0.34436803901639346,0.37536116262295083,1.5014446501639342,1.129625456,1.129625456,1.296291507,1.461775529,1.900308188,30.40493101
ND,ND,0.004791628950819672,0.023958144786885245,0.026327631639344266,0.027956144950819672,0.030472198,0.12188879193442623,0.782338843,0.782338843,0.897765885,1.012374296,1.316086585,21.05738536
NE,NE,0.0001457933442622951,0.0007289667868852459,0.0008010624262295082,0.000850612655737705,0.0009271678032786885,0.003708671213114754,0.768074133,0.768074133,0.881396546,0.993915254,1.29208983,20.67343727
NM_E,NM,0.0,0.2748368927868853,0.335166942295082,0.3779542118032787,0.4459859698360656,1.7839438790163933,0.426926014,0.426926014,0.52064148,0.58710635,0.719205279,5.03443695
NM_W,NM,0.2726229820655738,1.3631149104918032,1.4979284727868853,1.5905838422950818,1.7337363881967214,6.934945554098361,0.755286537,0.755286537,0.866722256,0.97736765,1.270577945,20.32924712
NY,NY,0.005156606196721311,0.025783031049180328,0.028333001147540983,0.030085557901639342,0.03279325813114754,0.1311730324918033,0.73270778,0.73270778,0.840812206,0.948149935,1.232594915,19.72151864
OH,OH,0.0,4.949121780327869,6.035514363934427,6.806005560655738,8.031086560655737,32.12434624262295,0.688632044,0.688632044,0.839795176,0.947003071,1.160078762,8.120551333
OK,OK,1.119432055409836,5.597160278688525,6.150725580327869,6.531182832786885,7.11898928852459,28.47595715081967,0.734353708,0.734353708,0.842700976,0.950279824,1.235363771,19.76582034
OR,OR,0.00018571540983606556,0.0009285770819672131,0.001020414393442623,0.001083532819672131,0.0011810507540983607,0.004724203049180328,0.899917195,0.899917195,1.032691864,1.164524867,1.513882328,24.22211724
PA,PA,0.0,14.83760831147541,18.094644281967216,20.404598872131146,24.07742666885246,96.30970668852459,0.556190525,0.556190525,0.678281128,0.764870208,0.936966005,6.558762036
SD,SD,0.00017840875409836065,0.000892043737704918,0.0009802678360655737,0.0010409029836065573,0.0011345842295081968,0.004538336983606558,0.782338843,0.782338843,0.897765885,1.012374296,1.316086585,21.05738536
TN,TN,0.0012756532786885246,0.006378266393442623,0.007009083934426229,0.007442635540983606,0.008112472721311477,0.032449890885245906,0.824964161,0.824964161,0.946680185,1.067532974,1.387792867,22.20468586
TX_1,TX,0.232445826,1.1622291298360654,1.2771748681967212,1.3561753754098362,1.4782311590163935,5.912924636065574,0.71460257,0.71460257,0.820035736,0.92472115,1.202137494,19.23419991
TX_10,TX,0.13053203813114753,0.6526601908196721,0.7172090006557377,0.7615724439344262,0.8301139639344262,3.3204558557377046,0.434921399,0.434921399,0.49909013,0.562803764,0.731644893,11.70631829
TX_2,TX,0.26136902118032784,1.3068451059016393,1.4360935229508196,1.5249240501639343,1.6621672147540982,6.648668859016393,0.85526612,0.85526612,0.981452924,1.106744787,1.438768223,23.02029157
TX_3,TX,0.08173416849180327,0.40867084229508194,0.44908883770491803,0.47686752885245903,0.519785606557377,2.0791424255737705,0.867631682,0.867631682,0.995642914,1.122746265,1.459570144,23.35312231
TX_4,TX,0.41213276459016396,2.0606638222950817,2.264465738688525,2.404535784590164,2.620944004918033,10.483776019672131,0.842858354,0.842858354,0.967214504,1.090688697,1.417895305,22.68632489
TX_5,TX,0.28079194504918037,1.4039597252459017,1.5428128849180327,1.6382446098360655,1.785686624590164,7.142746498360656,0.79938897,0.79938897,0.917331605,1.034437767,1.344769098,21.51630556
TX_6,TX,0.6718989039344262,3.359494521311475,3.6917522196721313,3.920108026229508,4.272917750819673,17.091670996721312,0.79938897,0.79938897,0.917331605,1.034437767,1.344769098,21.51630556
TX_7B,TX,0.040526859868852454,0.20263429940983607,0.22267505429508197,0.23644876898360656,0.2577291581967213,1.0309166327868853,0.700422266,0.700422266,0.803763257,0.906371332,1.178282731,18.8525237
TX_7C,TX,0.0403440788852459,0.20172039442622952,0.22167076311475412,0.23538235672131147,0.2565667688196721,1.026267075409836,0.700422266,0.700422266,0.803763257,0.906371332,1.178282731,18.8525237
TX_8,TX,0.0,0.5214898760655737,0.6359632632786885,0.7171500629508196,0.8462370744262295,3.384948298360656,0.409253907,0.409253907,0.49909013,0.562803764,0.689434611,4.826042277
TX_8A,TX,0.01485580737704918,0.07427903688524591,0.08162531527868853,0.08667430383606559,0.09447499118032787,0.3778999649180328,0.434921399,0.434921399,0.49909013,0.562803764,0.731644893,11.70631829
TX_9,TX,0.1489591453442623,0.744795726557377,0.8184568426229508,0.8690830390163934,0.9473005124590164,3.7892020491803278,0.617197388,0.617197388,0.708259298,0.798675378,1.038277992,16.61244787
TX_FD,TX,0.04343499826229508,0.21717499124590162,0.23865383652459016,0.25341592950819675,0.27622336314754103,1.1048934524590164,0.700422266,0.700422266,0.803763257,0.906371332,1.178282731,18.8525237
TX_ST,TX,0.0021950830491803282,0.010975415245901638,0.012060895868852459,0.012806930655737705,0.013959554426229507,0.05583821770491803,0.700422266,0.700422266,0.803763257,0.906371332,1.178282731,18.8525237
UT,UT,0.08961059996721311,0.44805300000000003,0.4923659337704918,0.5228215586885245,0.5698754990163934,2.279501995737705,0.867040836,0.867040836,0.994964894,1.121981689,1.458576196,23.33721913
VA,VA,0.04912553895081967,0.24562769475409837,0.26992054367213114,0.28661665977049183,0.312412159147541,1.2496486367213115,0.734522521,0.734522521,0.842894696,0.950498274,1.235647757,19.7703641
WV,WV,0.0,4.853635472131147,5.919067649180327,6.674693304918033,7.876138101639344,31.504552406557377,0.581368313,0.581368313,0.708985748,0.799494567,0.979380844,6.855665908
WY,WY,0.5666597036065574,2.833298518032787,3.113514855081967,3.306103403278689,3.6036527081967216,14.414610836065574,0.798038465,0.798038465,0.915781845,1.032690166,1.342497215,21.47995545
